iter	F1	Logloss
0	0.9384385301	0.5512704308
500	0.9983106833	0.008095296333
1000	0.9995483626	0.002698849374
1500	0.9998697005	0.001206096093
2000	0.9999616046	0.0006302397868
2500	0.9999903039	0.0003679820743
3000	0.9999996122	0.000234479515
3500	0.9999996122	0.000162095545
4000	1	0.0001168648358
4500	1	8.887473593e-05
4999	1	7.045296837e-05
