iter	Passed	Remaining
401	17934	205133
402	17981	205109
403	18026	205077
404	18070	205024
405	18118	205012
406	18161	204952
407	18206	204911
408	18252	204885
409	18300	204876
410	18345	204832
411	18389	204778
412	18433	204733
413	18477	204679
414	18524	204662
415	18570	204632
416	18613	204574
417	18657	204520
418	18702	204479
419	18747	204435
420	18792	204398
421	18836	204347
422	18882	204316
423	18926	204258
424	18972	204229
425	19018	204203
426	19062	204149
427	19108	204119
428	19154	204091
429	19199	204048
430	19245	204022
431	19291	203989
432	19335	203942
433	19382	203914
434	19426	203861
435	19473	203847
436	19519	203817
437	19563	203767
438	19608	203725
439	19653	203677
440	19694	203603
441	19738	203551
442	19783	203507
443	19829	203478
444	19874	203430
445	19916	203367
446	19961	203317
447	20004	203259
448	20046	203183
449	20087	203110
450	20133	203076
451	20179	203042
452	20225	203011
453	20269	202964
454	20313	202910
455	20355	202838
456	20399	202793
457	20447	202775
458	20492	202736
459	20538	202707
460	20581	202648
461	20626	202602
462	20672	202574
463	20718	202537
464	20764	202508
465	20809	202465
466	20855	202433
467	20900	202390
468	20946	202365
469	20993	202338
470	21037	202286
471	21081	202238
472	21124	202180
473	21171	202155
474	21216	202113
475	21262	202084
476	21308	202047
477	21353	202012
478	21401	201992
479	21445	201941
480	21490	201902
481	21536	201870
482	21582	201836
483	21627	201799
484	21673	201762
485	21717	201714
486	21763	201679
487	21809	201649
488	21856	201623
489	21899	201566
490	21943	201516
491	21986	201452
492	22030	201399
493	22074	201348
494	22119	201307
495	22160	201228
496	22203	201169
497	22244	201097
498	22289	201055
499	22336	201029
500	22383	201007
501	22431	200989
502	22479	200971
503	22523	200922
504	22568	200884
505	22612	200831
506	22657	200792
507	22704	200763
508	22749	200718
509	22793	200675
510	22840	200646
511	22886	200611
512	22932	200577
513	22977	200537
514	23021	200484
515	23062	200413
516	23105	200353
517	23151	200318
518	23195	200269
519	23240	200222
520	23286	200188
521	23330	200140
522	23375	200097
523	23420	200057
524	23470	200060
525	23521	200064
526	23563	200002
527	23609	199961
528	23653	199915
529	23698	199870
530	23744	199840
531	23792	199819
532	23836	199769
533	23881	199724
534	23926	199689
535	23969	199623
536	24012	199569
537	24057	199524
538	24103	199488
539	24146	199432
540	24193	199403
541	24238	199366
542	24284	199328
543	24327	199273
544	24372	199226
545	24417	199188
546	24463	199153
547	24510	199122
548	24557	199095
549	24603	199061
550	24648	199025
551	24695	198994
552	24741	198959
553	24786	198920
554	24829	198857
555	24870	198781
556	24917	198755
557	24960	198703
558	25003	198640
559	25047	198591
560	25092	198549
561	25137	198501
562	25183	198467
563	25228	198431
564	25274	198391
565	25318	198346
566	25364	198307
567	25409	198262
568	25453	198213
569	25497	198164
570	25542	198121
571	25586	198071
572	25630	198018
573	25672	197958
574	25717	197913
575	25765	197894
576	25809	197843
577	25854	197803
578	25901	197776
579	25948	197748
580	25992	197697
581	26035	197639
582	26078	197578
583	26123	197533
584	26169	197504
585	26213	197449
586	26258	197405
587	26303	197367
588	26348	197322
589	26393	197280
590	26437	197226
591	26480	197170
592	26523	197116
593	26568	197074
594	26614	197035
595	26657	196980
596	26701	196932
597	26748	196898
598	26791	196845
599	26835	196791
600	26880	196753
601	26927	196719
602	26970	196664
603	27013	196611
604	27058	196568
605	27103	196521
606	27150	196495
607	27193	196434
608	27233	196361
609	27279	196324
610	27324	196280
611	27368	196229
612	27414	196197
613	27458	196142
614	27501	196086
615	27544	196033
616	27591	196001
617	27634	195947
618	27678	195897
619	27723	195849
620	27769	195817
621	27815	195784
622	27861	195747
623	27907	195708
624	27951	195658
625	27995	195610
626	28039	195560
627	28086	195529
628	28125	195450
629	28173	195426
630	28218	195383
631	28262	195332
632	28304	195270
633	28346	195205
634	28390	195153
635	28433	195101
636	28479	195063
637	28525	195027
638	28570	194985
639	28614	194933
640	28659	194896
641	28706	194864
642	28750	194817
643	28793	194758
644	28837	194711
645	28881	194656
646	28926	194614
647	28971	194570
648	29016	194532
649	29062	194493
650	29107	194454
651	29152	194411
652	29199	194379
653	29245	194345
654	29288	194288
655	29331	194231
656	29374	194178
657	29419	194130
658	29463	194082
659	29507	194033
660	29552	193992
661	29597	193951
662	29644	193918
663	29689	193876
664	29733	193828
665	29779	193793
666	29824	193747
667	29866	193685
668	29910	193638
669	29956	193598
670	30004	193573
671	30049	193533
672	30094	193487
673	30137	193437
674	30183	193401
675	30226	193339
676	30268	193279
677	30315	193252
678	30358	193192
679	30404	193155
680	30445	193091
681	30491	193053
682	30534	193000
683	30580	192962
684	30626	192922
685	30670	192873
686	30713	192818
687	30757	192771
688	30804	192743
689	30848	192689
690	30891	192637
691	30937	192597
692	30981	192548
693	31026	192508
694	31071	192465
695	31116	192420
696	31160	192374
697	31206	192337
698	31251	192291
699	31297	192257
700	31344	192224
701	31388	192177
702	31434	192138
703	31477	192082
704	31523	192044
705	31570	192013
706	31614	191965
707	31660	191930
708	31708	191903
709	31752	191857
710	31795	191798
711	31840	191757
712	31884	191711
713	31929	191663
714	31972	191609
715	32017	191567
716	32062	191525
717	32107	191479
718	32151	191434
719	32194	191376
720	32238	191330
721	32282	191281
722	32326	191231
723	32371	191190
724	32419	191165
725	32463	191111
726	32506	191057
727	32549	191003
728	32594	190963
729	32639	190921
730	32683	190868
731	32725	190808
732	32769	190761
733	32816	190726
734	32860	190680
735	32905	190635
736	32947	190578
737	32990	190520
738	33035	190478
739	33079	190433
740	33124	190386
741	33167	190333
742	33209	190271
743	33252	190219
744	33294	190161
745	33340	190122
746	33386	190083
747	33429	190029
748	33477	190002
749	33523	189967
750	33568	189923
751	33612	189875
752	33657	189832
753	33702	189790
754	33746	189742
755	33790	189693
756	33836	189653
757	33880	189605
758	33925	189563
759	33970	189520
760	34016	189484
761	34060	189431
762	34107	189399
763	34151	189355
764	34196	189310
765	34241	189268
766	34285	189217
767	34329	189169
768	34371	189112
769	34416	189066
770	34462	189028
771	34504	188971
772	34555	188959
773	34602	188928
774	34648	188888
775	34690	188828
776	34736	188795
777	34779	188740
778	34825	188701
779	34869	188655
780	34911	188595
781	34958	188560
782	35003	188517
783	35047	188469
784	35090	188417
785	35133	188359
786	35177	188312
787	35219	188253
788	35266	188221
789	35310	188176
790	35354	188127
791	35399	188080
792	35444	188038
793	35487	187987
794	35532	187941
795	35576	187893
796	35621	187852
797	35664	187799
798	35708	187748
799	35753	187706
800	35796	187650
801	35839	187598
802	35886	187565
803	35927	187502
804	35974	187467
805	36019	187425
806	36065	187389
807	36110	187343
808	36155	187303
809	36201	187264
810	36246	187220
811	36293	187189
812	36336	187137
813	36381	187093
814	36427	187054
815	36473	187014
816	36520	186984
817	36568	186953
818	36614	186918
819	36659	186874
820	36707	186844
821	36753	186807
822	36797	186760
823	36843	186721
824	36889	186683
825	36934	186641
826	36978	186593
827	37024	186553
828	37067	186498
829	37111	186453
830	37155	186404
831	37203	186372
832	37249	186335
833	37295	186299
834	37342	186267
835	37387	186223
836	37433	186184
837	37480	186149
838	37523	186098
839	37572	186071
840	37619	186040
841	37664	185997
842	37710	185955
843	37753	185906
844	37800	185872
845	37845	185826
846	37891	185788
847	37934	185734
848	37978	185687
849	38025	185653
850	38071	185615
851	38115	185564
852	38159	185517
853	38205	185481
854	38253	185451
855	38298	185409
856	38344	185367
857	38388	185321
858	38434	185279
859	38479	185239
860	38524	185194
861	38569	185149
862	38614	185108
863	38661	185073
864	38709	185044
865	38756	185009
866	38800	184961
867	38849	184935
868	38894	184894
869	38940	184856
870	38988	184827
871	39032	184776
872	39075	184726
873	39117	184665
874	39162	184620
875	39207	184580
876	39254	184543
877	39298	184499
878	39346	184467
879	39390	184420
880	39436	184381
881	39482	184339
882	39529	184308
883	39575	184270
884	39619	184218
885	39663	184171
886	39709	184132
887	39754	184088
888	39800	184047
889	39846	184007
890	39890	183962
891	39937	183927
892	39982	183884
893	40027	183840
894	40073	183801
895	40117	183751
896	40162	183707
897	40205	183654
898	40250	183610
899	40296	183573
900	40342	183534
901	40385	183480
902	40430	183436
903	40475	183393
904	40522	183357
905	40566	183308
906	40613	183273
907	40657	183228
908	40703	183185
909	40748	183143
910	40791	183089
911	40835	183043
912	40880	182999
913	40925	182953
914	40973	182926
915	41022	182900
916	41065	182848
917	41110	182804
918	41155	182758
919	41203	182728
920	41246	182677
921	41293	182642
922	41349	182645
923	41393	182595
924	41438	182552
925	41484	182515
926	41531	182478
927	41574	182427
928	41618	182378
929	41662	182327
930	41705	182276
931	41749	182226
932	41795	182189
933	41845	182164
934	41891	182127
935	41938	182092
936	41982	182044
937	42028	182004
938	42075	181968
939	42118	181916
940	42160	181860
941	42203	181808
942	42249	181765
943	42294	181722
944	42341	181686
945	42387	181647
946	42434	181612
947	42479	181566
948	42525	181530
949	42570	181486
950	42617	181448
951	42664	181413
952	42708	181365
953	42750	181308
954	42796	181270
955	42842	181227
956	42888	181190
957	42937	181162
958	42982	181117
959	43028	181077
960	43073	181032
961	43119	180995
962	43165	180953
963	43211	180912
964	43258	180877
965	43304	180837
966	43347	180784
967	43389	180731
968	43432	180679
969	43479	180639
970	43525	180602
971	43571	180560
972	43612	180499
973	43656	180453
974	43701	180409
975	43748	180371
976	43792	180324
977	43834	180269
978	43881	180233
979	43922	180172
980	43969	180135
981	44014	180093
982	44061	180054
983	44107	180017
984	44153	179974
985	44199	179935
986	44242	179883
987	44286	179836
988	44330	179788
989	44377	179750
990	44424	179713
991	44468	179666
992	44513	179621
993	44557	179575
994	44601	179527
995	44644	179473
996	44687	179424
997	44732	179377
998	44777	179332
999	44824	179298
1000	44871	179263
1001	44915	179215
1002	44959	179164
1003	45002	179113
1004	45048	179073
1005	45094	179033
1006	45142	178999
1007	45190	178968
1008	45235	178925
1009	45278	178873
1010	45322	178823
1011	45370	178790
